City,Address,Latitude,Longitude,List Price,Close Price,Price Per Sqft,Sqft,DOM,Close Date,Bathrooms,Bedrooms,Subdivision Name,MLS Major Area,List Agent,Buy Agent,List Office Name,Buyer Office Name
Newport Beach,2009 Yacht Vigilant,33.615131,-117.854143,2395000,2255000,747,3019,8,08-14-2019,3,4,Seaview (SEAV),NV - East Bluff - Harbor View,Julie Blumberg,Julie Blumberg,HomeSmart Evergreen Realty,HomeSmart Evergreen Realty
Laguna Niguel,9 Morning Wood,33.505495,-117.720828,1249000,1203000,445,2703,19,08-14-2019,3,3,Laguna Woods II (LW2),LNSMT - Summit,Lisa Casey,Sean Casey,Villa Real Estate,Villa Real Estate
Laguna Niguel,28821 Jaeger,33.543966,-117.7132,1025000,1050000,297,3535,8,08-14-2019,3,4,Kite Hill North (KHN),LNLAK - Lake Area,Giulietta Wilson,Jennifer Hwang,Pacific Sotheby's Int'l Realty,Presidential Incorporated
Laguna Niguel,23511 Lochlomond,33.53596,-117.719235,839000,811000,409,1983,3,08-14-2019,3,4,Northview (NV),LNLAK - Lake Area,Terri Bruno,Soosan Robinett,Regency Real Estate Brokers,First Team Real Estate
Laguna Niguel,24962 Golden Vista,33.543718,-117.694014,814900,810000,445,1820,25,08-14-2019,2,3,Windrose (RN) (RNR),LNLAK - Lake Area,Diane Cirignani,Natalie Ness,Legacy 15 Real Estate Brokers,Legacy 15 Real Estate Brokers
Laguna Niguel,24321 Toponas,33.553821,-117.705278,784000,784000,498,1574,6,08-14-2019,2,3,Lake Park (LP),LNLAK - Lake Area,Matthew Blashaw,Julie Rappaport,Redfin,Pacific Sotheby's Int'l Realty
Laguna Beach,17 Montage,33.515381,-117.758114,23995000,19000000,2385,7966,140,08-15-2019,4,4,Montage Ocean Estates (MNOE),SL - South Laguna,Tim Smith,Marcus Skenderian,Coldwell Banker Res. Brokerage,Compass
Laguna Beach,365 Pinecrest,33.549179,-117.79559,5499000,5200000,1459,3564,41,08-15-2019,4,4,North Laguna (NL),NL - North Laguna,Branden Fella,Branden Fella,Compass,Compass
Newport Beach,1120 Bay,33.606894,-117.91514,5075000,5075000,1929,2631,0,08-15-2019,2,5,Other (OTHR),NP - Balboa Peninsula,Jacob Abeelen,Tara McNabb,Reliance Real Estate Services,Compass
Newport Beach,2508 Holly,33.6266,-117.915179,2275000,2150000,950,2263,7,08-15-2019,1,4,Newport Heights (NEWH),N6 - Newport Heights,Jason Godoy,Ryan Vitt,Coldwell Banker Res. Brokerage,Lido Realty Inc.
Newport Beach,1414 Dover,33.629167,-117.900902,2075000,1990000,692,2876,1,08-15-2019,4,5,Other (OTHR),N7 - West Bay - Santa Ana Heights,Evan Corkett,Jill Wiese,Villa Real Estate,Villa Real Estate
Dana Point,34511 Calle Monte,33.461545,-117.666019,1399000,1350000,540,2500,156,08-15-2019,3,4,Palisades (PS),CB - Capistrano Beach,George Hanold,Natalie Brown,HANOLD PROPERTIES,Berkshire Hathaway HomeServices
San Clemente,6 Tesoro,33.460233,-117.644127,1333333,1220000,287,4251,75,08-15-2019,4,5,Sea Pointe Estates (SPE),SN - San Clemente North,Tim Branoff,Kevin Hood,First Team Real Estate,Greentree Properties
San Clemente,910 Camino Ibiza,33.444275,-117.601834,1225000,1150000,484,2376,7,08-15-2019,2,4,Bella Vista (BEL),RS - Rancho San Clemente,Gina Dybwad,May Miura,Pacific Equity Realty,RE/MAX Premier Realty
Dana Point,26365 Via California,33.463981,-117.669726,1225000,1140000,345,3304,106,08-15-2019,3,4,Other (OTHR),CB - Capistrano Beach,Deanne Amen,Robert Luecke,Surterre Properties,ShopProp Inc.
Laguna Niguel,25961 Arriba Linda,33.54222,-117.683965,899000,850000,383,2219,67,08-15-2019,2,4,Villa Niguel (VN),LNSEA - Sea Country,Ramona Maney,Lawrence Bammer,Century 21 Award,First Team Real Estate
Laguna Niguel,31442 Paseo De La Playa,33.506214,-117.729051,724000,724000,507,1428,0,08-15-2019,2,2,Villa Pacifica (VP),LNSMT - Summit,Raylene Miller,LaureLee Barnes,Coldwell Banker Res. Brokerage,RE/MAX College Park Realty
Laguna Niguel,24 Dunn,33.521651,-117.688906,718510,714000,459,1556,22,08-15-2019,3,3,Saltaire (LHA),LNSLT - Salt Creek,Darel Rosen,Trisha Sanchez,First Team Real Estate,Realty One Group West
San Clemente,824 Calle Pluma,33.463778,-117.652822,719000,690000,453,1523,10,08-15-2019,2,3,Ocean Hills (OH),SN - San Clemente North,Cindy McDonald,Bryan Whittam,Mission Realtors,Pacific Sotheby’s International Realty
Newport Beach,17 Ridgeline,33.61589,-117.845401,7999888,7645000,648,11798,85,08-16-2019,9,7,Harbor Ridge Custom (HRCS),NV - East Bluff - Harbor View,Christina Shaw,David Ren,Pacific Sotheby's Int'l Realty,Realty One Group West
Newport Coast,7 Sunset Vista,33.600678,-117.849958,6200000,4875000,812,6004,247,08-16-2019,4,5,Pelican Hill (NCPH),N26 - Newport Coast,Rex McKown,Sarah Piazza,Compass,"HomeSmart, Evergreen Realty"
Newport Beach,8 Winged Foot,33.625876,-117.869871,3295000,3250000,1083,3001,89,08-16-2019,3,4,Big Canyon Broadmoor (BCBM),NV - East Bluff - Harbor View,Georgina Jacobson,Georgina Jacobson,Coldwell Banker Res. Brokerage,Coldwell Banker Res. Brokerage
Newport Beach,125 Via Mentone,33.612066,-117.917736,3395000,3180000,1088,2923,77,08-16-2019,4,4,Lido Island (LIDO),N8 - West Newport - Lido,Jon Flagg,Angela Caliger,Villa Real Estate,Residential Agent Inc.
Newport Beach,201 Crystal,33.605859,-117.887475,2449000,2395000,1696,1412,122,08-16-2019,3,2,Balboa Island - Little Island (BALL),N9 - Lower Newport Bay - Balboa Island,Donald Abrams,Natalie Raney,Abrams Coastal Properties,Villa Real Estate
Newport Beach,11 Rue Cannes,33.625784,-117.87571,2150000,2050000,615,3333,163,08-16-2019,,3,Big Canyon Deane (BCDN),NV - East Bluff - Harbor View,Judy Mertz,Rick Langevin,Surterre Properties,Surterre Properties Inc.
San Clemente,230 Avenida Princesa,33.41488,-117.610129,1549000,1440000,655,2198,34,08-16-2019,2,4,Other (OTHR),SW - San Clemente Southwest,Kelly Galvin,Kelly Galvin,Century 21 Award,Century 21 Award
Corona del Mar,500 Acacia,33.602603,-117.877231,1495000,1435000,1556,922,98,08-16-2019,2,2,Corona del Mar South of PCH (CDMS),CS - Corona Del Mar - Spyglass,Deborah Pirdy,Marc Raine,Berkshire Hathaway Home Service,Redfin
San Juan Capistrano,28151 Pacifica Del Mar,33.472514,-117.647145,1439000,1420000,488,2910,26,08-16-2019,3,3,Ocean Pointe (OP),JS - San Juan South,Ron Lorraine Miller Team,Spencer Wall,First Team Real Estate,Berkshire Hathaway HomeServices
Dana Point,33906 Cape Cove,33.470459,-117.711112,1239000,1170000,584,2003,172,08-16-2019,2,3,Cape Cove (CPC),MB - Monarch Beach,Brett Smith,Kamal Al-Faqih,Berkshire Hathaway Home Service,Berkshire Hathaway HomeService
San Clemente,33 Via Regalo,33.485912,-117.583554,1129000,1130000,378,2989,13,08-16-2019,3,5,Portomarin (PORM),TL - Talega,Kelly LeClair,Jeff Gray,Pacific Sotheby's Int'l Realty,Keller Williams Realty
San Clemente,29 Albergar,33.44306,-117.593036,839900,800000,391,2046,74,08-16-2019,2,4,Richmond Pointe (RP),RS - Rancho San Clemente,Saul Barajas,Jennifer Elliott,Coldwell Banker Res. Brokerage,"Jennifer Elliott, Broker"
Dana Point,25282 Sea Rose,33.48409,-117.68844,779000,800000,393,2036,2,08-16-2019,1,4,Dana Knolls (DK),DO - Del Obispo,Gary Ceasar,Rick Scatterday,First Team Real Estate,Advent Finance Group
Laguna Niguel,24501 Rue De Gauguin,33.530945,-117.702176,799000,797000,392,2033,57,08-16-2019,2,3,Chatelain Estates (CE),LNSEA - Sea Country,Abbas Ziae-Mohseni,Frank Agahi,Realty One Group West,Re/Max Omega
Laguna Niguel,24222 Bonnie,33.55938,-117.70708,749000,743000,545,1363,15,08-16-2019,2,3,Village Niguel Heights (VNH),LNLAK - Lake Area,Sandra Thiel,Sandra Thiel,Keller Williams Realty,Keller Williams Realty
Dana Point,34452 Calle Carmelita,33.462307,-117.659872,725000,715000,599,1194,179,08-16-2019,2,4,Other (OTHR),CB - Capistrano Beach,Dan Raphael,Joshua Weir,Coldwell Banker Res. Brokerage,Premier Agent Network
Dana Point,6 Via Corsica,33.483378,-117.722423,2998000,2650000,597,4439,18,08-17-2019,4,4,Pointe Monarch (PMON),MB - Monarch Beach,Michael La Riche,Michael La Riche,Pacific Sotheby’s International Realty,Pacific Sotheby’s International Realty
Newport Beach,201 Bay Front,33.608484,-117.898292,11900000,11500000,1873,6140,28,08-19-2019,5,5,Balboa Island - Main Island (BALM),N9 - Lower Newport Bay - Balboa Island,Sara Legrand,Sara Legrand,Surterre Properties,Surterre Properties Inc.
Newport Beach,748 Harbor Island,33.611159,-117.896343,5195000,4950000,1232,4018,72,08-19-2019,4,4,"Harbor Island """"Drive"""" (HIDC)",N9 - Lower Newport Bay - Balboa Island,Tim Smith,Tim Smith,Coldwell Banker Res. Brokerage,Coldwell Banker Res. Brokerage
